team,offensive_plays,rushing_yards,rushing_touchdowns,rushing_attempts,rushing_yards_per_attempt,rushing_1st_downs
Arizona Cardinals,2984,4889,38,1113,30.699999999999996,320
Atlanta Falcons,2455,6785,54,1393,34.3,378
Baltimore Ravens,2485,6563,34,1176,38.9,378
Buffalo Bills,2590,4649,22,944,34.3,271
Carolina Panthers,2292,4268,29,929,32.0,222
Chicago Bears,2406,7614,44,1449,36.6,371
Cincinnati Bengals,2848,3791,26,1072,24.2,225
Cleveland Browns,2795,7094,74,1395,35.7,420
Dallas Cowboys,2442,5018,37,1127,30.9,256
Denver Broncos,2603,4515,20,1080,29.4,212
Detroit Lions,2476,5584,51,1038,38.1,243
Green Bay Packers,2659,5207,20,1080,33.699999999999996,301
Houston Texans,2240,3687,18,866,29.500000000000004,211
Indianapolis Colts,2848,3672,13,1009,25.5,216
Jacksonville Jaguars,2698,5644,43,1177,32.6,295
Kansas City Chiefs,2576,4287,36,967,31.0,221
Las Vegas Raiders,2332,4368,26,845,35.8,255
Los Angeles Chargers,2732,3457,30,966,24.0,199
Los Angeles Rams,2402,2675,31,813,23.2,155
Miami Dolphins,2498,3455,27,904,26.299999999999997,196
Minnesota Vikings,2482,3962,45,901,31.000000000000004,234
New England Patriots,2525,5237,49,1209,30.6,298
New Orleans Saints,2693,5673,47,1110,36.0,300
New York Giants,2612,6949,50,1346,36.7,394
New York Jets,2784,4484,43,1006,30.9,201
Philadelphia Eagles,2713,6021,84,1413,30.0,383
Pittsburgh Steelers,2529,3755,26,966,27.3,222
San Francisco 49ers,2470,5189,39,1157,31.4,294
Seattle Seahawks,2425,5249,37,1001,36.0,266
Tampa Bay Buccaneers,2704,2746,13,892,21.7,170
Tennessee Titans,2133,4475,43,1112,27.4,218
Washington Commanders,2839,4226,20,1056,27.9,254
